,x,KWH,date,time,days_since_today
0,2023-03-07 01:00:00+01:00,35.343834,2023-03-07,01:00:00,9
1,2023-03-07 01:10:00+01:00,34.699,2023-03-07,01:10:00,9
2,2023-03-07 01:20:00+01:00,34.088665,2023-03-07,01:20:00,9
3,2023-03-07 01:30:00+01:00,33.7115,2023-03-07,01:30:00,9
4,2023-03-07 01:40:00+01:00,33.7,2023-03-07,01:40:00,9
5,2023-03-07 01:50:00+01:00,33.7,2023-03-07,01:50:00,9
6,2023-03-07 02:00:00+01:00,33.7,2023-03-07,02:00:00,9
7,2023-03-07 02:10:00+01:00,33.7,2023-03-07,02:10:00,9
8,2023-03-07 02:20:00+01:00,33.7,2023-03-07,02:20:00,9
9,2023-03-07 02:30:00+01:00,33.7,2023-03-07,02:30:00,9
10,2023-03-07 02:40:00+01:00,33.7,2023-03-07,02:40:00,9
11,2023-03-07 02:50:00+01:00,33.7,2023-03-07,02:50:00,9
12,2023-03-07 03:00:00+01:00,33.692165,2023-03-07,03:00:00,9
13,2023-03-07 03:10:00+01:00,34.111668,2023-03-07,03:10:00,9
14,2023-03-07 03:20:00+01:00,36.338665,2023-03-07,03:20:00,9
15,2023-03-07 03:30:00+01:00,38.77017,2023-03-07,03:30:00,9
16,2023-03-07 03:40:00+01:00,41.201,2023-03-07,03:40:00,9
17,2023-03-07 03:50:00+01:00,43.598835,2023-03-07,03:50:00,9
18,2023-03-07 04:00:00+01:00,46.007168,2023-03-07,04:00:00,9
19,2023-03-07 04:10:00+01:00,48.568333,2023-03-07,04:10:00,9
20,2023-03-07 04:20:00+01:00,51.349167,2023-03-07,04:20:00,9
21,2023-03-07 04:30:00+01:00,54.0985,2023-03-07,04:30:00,9
22,2023-03-07 04:40:00+01:00,56.852,2023-03-07,04:40:00,9
23,2023-03-07 04:50:00+01:00,59.583168,2023-03-07,04:50:00,9
24,2023-03-07 05:00:00+01:00,62.3315,2023-03-07,05:00:00,9
25,2023-03-07 05:10:00+01:00,64.22967,2023-03-07,05:10:00,9
26,2023-03-07 05:20:00+01:00,63.7055,2023-03-07,05:20:00,9
27,2023-03-07 05:30:00+01:00,63.056,2023-03-07,05:30:00,9
28,2023-03-07 05:40:00+01:00,62.385,2023-03-07,05:40:00,9
29,2023-03-07 05:50:00+01:00,61.833168,2023-03-07,05:50:00,9
30,2023-03-07 06:00:00+01:00,61.379833,2023-03-07,06:00:00,9
