,x,KWH,date,time,days_since_today
0,2023-04-04 02:00:00+02:00,-0.00058833335,2023-04-04,02:00:00,9
1,2023-04-04 02:10:00+02:00,-0.0020433334,2023-04-04,02:10:00,9
2,2023-04-04 02:20:00+02:00,-0.00053333334,2023-04-04,02:20:00,9
3,2023-04-04 02:30:00+02:00,0.0009866667,2023-04-04,02:30:00,9
4,2023-04-04 02:40:00+02:00,0.0006866667,2023-04-04,02:40:00,9
5,2023-04-04 02:50:00+02:00,0.0006233333,2023-04-04,02:50:00,9
6,2023-04-04 03:00:00+02:00,-0.0008466667,2023-04-04,03:00:00,9
7,2023-04-04 03:10:00+02:00,0.001135,2023-04-04,03:10:00,9
8,2023-04-04 03:20:00+02:00,-0.001105,2023-04-04,03:20:00,9
9,2023-04-04 03:30:00+02:00,0.00088360655,2023-04-04,03:30:00,9
10,2023-04-04 03:40:00+02:00,-0.0018233333,2023-04-04,03:40:00,9
11,2023-04-04 03:50:00+02:00,-0.000125,2023-04-04,03:50:00,9
12,2023-04-04 04:00:00+02:00,0.0015616667,2023-04-04,04:00:00,9
13,2023-04-04 04:10:00+02:00,0.000495,2023-04-04,04:10:00,9
14,2023-04-04 04:20:00+02:00,0.0007383333,2023-04-04,04:20:00,9
15,2023-04-04 04:30:00+02:00,-0.00024918033,2023-04-04,04:30:00,9
16,2023-04-04 04:40:00+02:00,-0.00036666667,2023-04-04,04:40:00,9
17,2023-04-04 04:50:00+02:00,-0.0006916667,2023-04-04,04:50:00,9
18,2023-04-04 05:00:00+02:00,-0.0015466667,2023-04-04,05:00:00,9
19,2023-04-04 05:10:00+02:00,0.00033,2023-04-04,05:10:00,9
20,2023-04-04 05:20:00+02:00,0.0019666667,2023-04-04,05:20:00,9
21,2023-04-04 05:30:00+02:00,0.0009433333,2023-04-04,05:30:00,9
22,2023-04-04 05:40:00+02:00,0.00040166668,2023-04-04,05:40:00,9
23,2023-04-04 05:50:00+02:00,-8.8333334e-05,2023-04-04,05:50:00,9
24,2023-04-04 06:00:00+02:00,0.000775,2023-04-04,06:00:00,9
25,2023-04-04 06:10:00+02:00,-0.0022583334,2023-04-04,06:10:00,9
26,2023-04-04 06:20:00+02:00,-0.00063333334,2023-04-04,06:20:00,9
27,2023-04-04 06:30:00+02:00,0.001885,2023-04-04,06:30:00,9
28,2023-04-04 06:40:00+02:00,2e-05,2023-04-04,06:40:00,9
29,2023-04-04 06:50:00+02:00,-0.00065833336,2023-04-04,06:50:00,9
30,2023-04-04 07:00:00+02:00,-0.002275,2023-04-04,07:00:00,9
31,2023-04-04 07:10:00+02:00,-0.0009866667,2023-04-04,07:10:00,9
32,2023-04-04 07:20:00+02:00,-0.0006833333,2023-04-04,07:20:00,9
33,2023-04-04 07:30:00+02:00,-0.000885,2023-04-04,07:30:00,9
34,2023-04-04 07:40:00+02:00,0.00042166666,2023-04-04,07:40:00,9
35,2023-04-04 07:50:00+02:00,0.004495,2023-04-04,07:50:00,9
36,2023-04-04 08:00:00+02:00,-0.005016667,2023-04-04,08:00:00,9
37,2023-04-04 08:10:00+02:00,0.0041966666,2023-04-04,08:10:00,9
38,2023-04-04 08:20:00+02:00,-0.008101666,2023-04-04,08:20:00,9
39,2023-04-04 08:30:00+02:00,-0.000101666665,2023-04-04,08:30:00,9
40,2023-04-04 08:40:00+02:00,-0.00194,2023-04-04,08:40:00,9
41,2023-04-04 08:50:00+02:00,0.00053666666,2023-04-04,08:50:00,9
42,2023-04-04 09:00:00+02:00,-0.0026583334,2023-04-04,09:00:00,9
43,2023-04-04 09:10:00+02:00,-0.0030183333,2023-04-04,09:10:00,9
44,2023-04-04 09:20:00+02:00,-0.001705,2023-04-04,09:20:00,9
45,2023-04-04 09:30:00+02:00,0.0038833334,2023-04-04,09:30:00,9
46,2023-04-04 09:40:00+02:00,0.0027516666,2023-04-04,09:40:00,9
47,2023-04-04 09:50:00+02:00,0.0039533335,2023-04-04,09:50:00,9
48,2023-04-04 10:00:00+02:00,0.0026166667,2023-04-04,10:00:00,9
49,2023-04-04 10:10:00+02:00,-0.0018433334,2023-04-04,10:10:00,9
50,2023-04-04 10:20:00+02:00,-0.0048783333,2023-04-04,10:20:00,9
51,2023-04-04 10:30:00+02:00,-0.0038616667,2023-04-04,10:30:00,9
52,2023-04-04 10:40:00+02:00,-0.001905,2023-04-04,10:40:00,9
53,2023-04-04 10:50:00+02:00,-0.0068283333,2023-04-04,10:50:00,9
54,2023-04-04 11:00:00+02:00,-0.002595,2023-04-04,11:00:00,9
55,2023-04-04 11:10:00+02:00,-0.011595,2023-04-04,11:10:00,9
56,2023-04-04 11:20:00+02:00,0.027228333,2023-04-04,11:20:00,9
57,2023-04-04 11:30:00+02:00,-0.019308334,2023-04-04,11:30:00,9
58,2023-04-04 11:40:00+02:00,-0.008716667,2023-04-04,11:40:00,9
59,2023-04-04 11:50:00+02:00,0.002935,2023-04-04,11:50:00,9
60,2023-04-04 12:00:00+02:00,0.016423333,2023-04-04,12:00:00,9
61,2023-04-04 12:10:00+02:00,-0.0054516667,2023-04-04,12:10:00,9
62,2023-04-04 12:20:00+02:00,0.009641667,2023-04-04,12:20:00,9
63,2023-04-04 12:30:00+02:00,0.006543333,2023-04-04,12:30:00,9
64,2023-04-04 12:40:00+02:00,0.001475,2023-04-04,12:40:00,9
65,2023-04-04 12:50:00+02:00,0.010945,2023-04-04,12:50:00,9
66,2023-04-04 13:00:00+02:00,-0.038896665,2023-04-04,13:00:00,9
67,2023-04-04 13:10:00+02:00,-0.018275,2023-04-04,13:10:00,9
68,2023-04-04 13:20:00+02:00,0.051036667,2023-04-04,13:20:00,9
69,2023-04-04 13:30:00+02:00,-0.018645,2023-04-04,13:30:00,9
70,2023-04-04 13:40:00+02:00,-0.726355,2023-04-04,13:40:00,9
71,2023-04-04 13:50:00+02:00,-1.3143916,2023-04-04,13:50:00,9
72,2023-04-04 14:00:00+02:00,-0.583575,2023-04-04,14:00:00,9
73,2023-04-04 14:10:00+02:00,-3.4739819,2023-04-04,14:10:00,9
